Cel,Inhoud,Capaciteit,Temperatuur
01,Bananen+ Bananenpure+ Drums,819,13.7
02,Oceanspray,1081,13.7
03,Bananen + Drums + Bananen Bins,1057,13.7
04,Oceanspray,1244,13.7
05,Bananen+Sun noodles+ Drums,1057,13.7
06,Oceanspray,1244,13.7
07,Oceanspray,1057,12
08,Oceanspray+Sunflower oil+ Bananen chips,1060,12
09,Citroenen,1057,7
10,Oceanspray,1056,12
11,Drums+Citroenen,1057,7
12,Noten,1060,10
13,Alca Trading,1057,2
14,Melk poeder,1060,15
15,Opslag Vaten,1057,2
16,Hiwa,1060,5
17,Drums+Mango pulp+Coconut water,1057,6
18,Sinas,1060,5
19,Kaas,1060,2
20,Drums+Peren+koekjes,1060,1
21,Drums+Kaas,1681,2
22,Drums+Kaas+Organic Poeder,1674,2
23,Vries,4738,-20.3
24,Vries vaten,7570,-17.5
